draw,beta,h,a_B,mu_S,mu_I,delta,eta,mu_F,R_B,sigma_A,sigma_F,phi,T,K0,B_index,R_P,has_coexistence,has_parasitoid_free,score
72,0.03047608960783899,0.0014215911712822738,0.004333842257200492,0.022011028901490776,0.032373709209374414,0.17905925756199675,0.6609548635735201,0.050804416239672974,14.92561119520477,0.543709040873253,0.3640371954416416,0.010909725002578153,56.15296684107162,1.6665942447064266,0.9756972943470249,0.02099821342399979,False,False,12.179001786576
73,0.029581830846607312,0.00603709071465349,0.005441690609478287,0.025170975061850745,0.005034730196379989,0.07356286812586575,0.7753832948800548,0.04458431482772604,8.173031979150275,0.6729895443417195,0.3601572388038214,0.02625921796091176,54.16348470823147,1.6300466097970068,1.1454404459770076,0.032191384688068654,False,False,12.167808615311932
74,0.011032941805497612,0.00876922114636651,0.009571781594324244,0.02867314500754183,0.027845818750971352,0.16966596344077914,0.5800979055925575,0.05282432263148658,9.12954632785847,0.7007278124437266,0.4267702457243323,0.02604268922433923,64.05027920882509,2.4401243342690995,0.534511193729289,0.014480938996871914,False,False,12.185519061003127
75,0.03562541160258511,0.0015788098570673325,0.006040611402538675,0.012732589320548666,0.028100902856916306,0.11048921091095505,0.8187071748032173,0.04349415515844596,7.813032541880302,0.7230306330492154,0.6447644223602369,0.03837439736312202,45.04501743179202,2.3805933372425887,1.8500101580553494,0.49670221057277547,False,True,10.703297789427225
76,0.03757413756188091,0.009375619168019322,0.002775542290041423,0.008817751723710417,0.028867288920438994,0.057335437417759774,0.8035873774247885,0.07568769640771489,10.37725112792376,0.8506571209668896,0.32923118144066094,0.0822341231995554,58.5838098525565,1.926651177277775,1.2155803333565625,0.11101595990809757,False,True,11.088984040091903
77,0.03846841397811134,0.007321122124777531,0.008190175107825272,0.0068759664260204115,0.03904866423884645,0.05477509597514621,0.738037832051263,0.02100070164804271,11.599145681210853,0.8909210145468371,0.35407816218598587,0.08928507371675436,48.955295377524806,2.171144650662151,1.4172359551303186,3.6285843819921966,True,False,3.428584381992197
78,0.034880954574645455,0.0005706996243613938,0.0025108081721412524,0.02065871605273342,0.03099773681795689,0.1625211964060605,0.7259501470694734,0.04239012659021335,15.79433188288376,0.7578745220208603,0.3130730119153552,0.05246775370974625,51.916502340331505,1.695093016521028,1.3399260368267263,0.6166763059801427,False,True,10.583323694019857
79,0.027148553308683484,0.0029790247380256443,0.008242602611544733,0.018679491176888666,0.031710280164679035,0.2086126387995369,0.6667080446907903,0.04320994726835284,8.142222062988427,0.5119972606302637,0.6116971721120325,0.07046809980913991,63.8671922550443,1.9194838021864202,1.7352279158011592,0.03872709049508232,False,False,12.161272909504918
80,0.033887340194829224,0.0017562400111325205,0.0037758445310189935,0.008651432608380687,0.042014397842928417,0.15108875609665828,0.8635095729619549,0.024511761824030063,15.067867944355575,0.8698981997771491,0.3128029072941482,0.06721098324147354,57.67646887509131,1.641260054246663,1.7656116147749372,23.321288477420968,True,False,23.12128847742097
81,0.028882315213685023,0.0005382101880222268,0.002203598727726114,0.007978038888864083,0.012915765548826365,0.21241890133115476,0.9540069988162339,0.036594463867826374,14.197545615930022,0.8559570772444745,0.5051881820918127,0.032046814096191686,61.48483192194823,1.7137629633750955,1.6122005783520645,37.745354532921816,True,False,37.54535453292181
