sample_id,beta,h,a_B,mu_S,mu_I,delta,eta,mu_F,R_B,sigma_A,sigma_F,phi,T,K0,B_index,equilibrium_class,trajectory_class,tail_sd,A_star,F_star,K_star,rho_star,bifurcation_type,R_P,regime_shift,canopy_collapse,max_consecutive_K_below,damage_threshold_exceeded,mean_D_longrun,functional_tipping
74,0.02200647612810444,0.00014664240395761722,0.006854694687666108,0.022098982026400767,0.030969690904945644,0.1168553333041919,0.7182500748133478,0.05937552126404132,10.887218437947212,0.5891533869999603,0.601756997348001,0.06192798125440686,55.325317580607,1.9065611658370565,1.2869924796775198,trivial,trivial,4.440892098500626e-16,7.359687443587692e-26,1.2469168173329885e-175,1.906561165837057,0.5926814972121224,stable,0.022530819911987927,1,False,0,False,5.092733499591079e-25,False
75,0.01584625286714316,0.009284400973677652,0.0008561986667885589,0.011910067686786794,0.023344648196889937,0.10427537429691519,0.9988377833291334,0.03430986632400239,8.122874505709785,0.8829368535619322,0.6269755668411383,0.04714409965060029,47.75575575740621,1.746902164410561,0.8745802949014729,parasitoid_free,parasitoid_free,4.440892098500626e-16,0.9612899701162579,3.078118684079132e-41,1.7173420204918382,0.6363418960138264,stable,0.4325917290565918,1,False,0,False,0.36200222335859955,False
76,0.029119202756028705,0.006383924345951716,0.004819017663856555,0.022969404420518744,0.045498385749196714,0.2297632126460556,0.9328091065626882,0.042640785879515336,14.694125543156215,0.7202316671472889,0.3985163936334137,0.07576042857935279,49.806113051411494,1.97374556890163,1.077366715136132,parasitoid_free,parasitoid_free,2.490684432220243e-10,0.39093896134572487,6.513617086453635e-53,1.9537123606464004,0.8395617712913733,stable,0.33201649831223073,1,False,0,False,0.13465742432759803,False
77,0.024774943053796537,0.007737264375073212,0.003955665502093821,0.00976884957793028,0.042952242400626686,0.2410198444406953,0.4221385377532145,0.03165586434199916,15.162879127266407,0.7780596861065816,0.6695553886796175,0.08955722265948557,60.96506580360421,2.0456626208384616,1.5775677246836355,coexistence,coexistence,1.3887362348691923e-12,1.268659820962556,0.05873885176954271,1.9850950040321333,0.7900344446057981,stable,1.6134224554937937,0,False,0,False,0.33559530009799293,False
78,0.02027497847406636,0.008034239387218197,0.007133006987621006,0.00813671947523252,0.04415855860849168,0.09600818043095886,0.8124659000885539,0.027805914428787614,14.879059312031579,0.6628232668430722,0.5731817658212288,0.08285256297299962,55.0251320988669,1.691727095273724,1.8763794291795421,coexistence,coexistence,4.757135372836761e-12,1.0874767628734472,0.1242984462105399,1.6400578137604742,0.7947188407411558,stable,1.7659093073944436,0,False,0,False,0.37438145960927305,False
79,0.006580466539686912,0.009248564929415701,0.005610816763829724,0.006967478894991619,0.028756633109301523,0.12409036608076633,0.40980358761588237,0.0715855010159091,7.434207257530614,0.7757962402693088,0.5593331603780837,0.07097953666904,58.34017722899047,2.204927994557392,1.466783105995154,parasitoid_free,parasitoid_free,1.5333995667442248e-08,0.3552718934181083,5.5611793064659095e-213,2.183388187583803,0.8651795000905174,stable,0.01037571571586611,1,False,0,False,0.13830702487306817,False
80,0.030197597555701224,0.006265375996705124,0.00153962545535065,0.02639039062491536,0.015951547741361184,0.07252533814460649,0.5477689233231545,0.05832890397081607,9.675055173968616,0.555411017370813,0.37319490096119107,0.025425141842577693,52.35167540023198,2.248506329871711,1.5185703039309786,trivial,trivial,8.881784197001252e-16,9.571414302525707e-37,1.2805142269400164e-187,2.2485063298717103,0.46822784358860714,stable,0.017610317887557427,1,False,0,False,2.2667183872942888e-35,False
81,0.014019787462589202,0.0027481102862767347,0.004629185707250927,0.02327079817443501,0.027480975100136362,0.12756887577945616,0.5902164892640331,0.04821848646424,14.235141792357949,0.5685479960361951,0.38145877492903596,0.03937827348170096,54.34202877863151,2.333506894327726,1.9019622930866813,trivial,trivial,3.699320413770114e-16,3.1348939398649853e-16,3.587489984746574e-166,2.333506894327726,0.7289959213567136,stable,0.027763227931407244,1,False,0,False,5.110775833549863e-16,False
82,0.033092067383538856,0.0011473659633644503,0.006892251580601474,0.014538567497413977,0.03495274072555998,0.21014254806501237,0.867927335076699,0.03910775529478837,6.891687763238253,0.5201086119485575,0.36142432371583383,0.0625645681658491,47.536929595385,1.920261771044853,1.5908496224181818,trivial,trivial,8.562847072886125e-20,6.156685295894038e-20,9.322246608433796e-133,1.920261771044853,0.6742428020851723,stable,0.056316641119599935,1,False,0,False,2.4933224326855687e-19,False
83,0.006314666053164791,0.009404337530321182,0.00822492051610261,0.012711242194909728,0.02352365994206235,0.19136076608282876,0.5130203560358839,0.04755124349085897,15.05331090344775,0.5001610110524353,0.5668757762369694,0.04445115160245902,63.2004768739863,2.2377690677266675,1.293169517486458,trivial,trivial,2.1094373631878093e-09,3.0990417436402606e-09,5.172634283285509e-166,2.2377690675945994,0.8476137418865894,stable,0.028074984626263094,1,False,0,False,2.3930144522461655e-09,False
84,0.017567861895555672,0.007651923393996399,0.003499865557625718,0.0206470607697215,0.038865918928670376,0.14028114972214412,0.6801532108311338,0.07692135868447376,6.0292999878143405,0.8488875334144768,0.35376759908535693,0.034161169386404025,62.49155745535077,2.3468615986158268,0.846404557125415,trivial,trivial,3.583453687190538e-44,1.5280382953508374e-44,1.616418941763254e-271,2.3468615986158268,0.3953722614577083,stable,0.002891296034527449,1,False,0,False,9.21345022619104e-43,False
85,0.006161926568373814,0.00512751994585245,0.004245576765083627,0.019710471030617863,0.015487161374678163,0.10765544334119148,0.9115843520596121,0.035240346851555575,9.772968536656283,0.6845871307812565,0.4525322098566456,0.013537390767113675,51.750145793844794,2.1625993089004294,1.6353024175126414,trivial,trivial,2.50606730597142e-10,3.3217128284435914e-10,2.2739722769676527e-122,2.1625993088958846,0.830855982981149,stable,0.07305158646873416,1,False,0,False,3.0580746961974756e-10,False
86,0.03613206073949143,0.009866017013800502,0.0011001144326103181,0.009619763224933811,0.03421953685616389,0.06160915625907846,0.5444451664215946,0.06573478651507055,13.191727231155772,0.6388115832701413,0.5853704535624055,0.05321616771138379,59.09343827414431,1.8191588767112064,0.9304662759177057,parasitoid_free,parasitoid_free,8.881784197001252e-16,0.815682695866471,2.06022669568617e-99,1.7912568759388483,0.6853820661679813,stable,0.12146610535783121,1,False,0,False,0.2904512011015104,False
87,0.03903651039821517,0.00035649385381082693,0.004460252270839546,0.02692347363841387,0.01662465988671908,0.22143094986227574,0.663177161266375,0.05701957289388339,9.00537516102006,0.8872102825172423,0.6047698581656822,0.0912765993157689,61.515858368297785,1.6759051195057337,0.5343802087129305,trivial,trivial,6.661338147750939e-16,2.22196452141956e-40,1.4580659076506526e-185,1.6759051195057344,0.43344275611472294,stable,0.01812405541840354,1,False,0,False,9.733188370493063e-39,False
88,0.03606612590120622,0.008469920035692137,0.009851022173212693,0.02463826603965411,0.04324360428077721,0.09839129189256049,0.6396796806293183,0.05747636629048976,7.5429169892234675,0.8981525441817888,0.36518105405257584,0.05960432266627801,48.38126217809683,1.7791193867020267,0.519585815352073,trivial,trivial,5.166294089236824e-15,4.695914040436031e-15,3.078424262640561e-175,1.7791193867020272,0.7489361954799145,stable,0.022637642699948578,1,False,0,False,9.152968613456846e-15,False
