idx,g_low_density,A_star,F_star,K_star,R_P,mu_S,mu_I,T,R_B,sigma_A,sigma_F,beta,delta,eta,mu_F,c_B,kappa,phi,K0
48,0.28408588750159874,4.281673733031016e-11,0.0,2.3476465063284176e-12,,0.027657307697615055,0.025039101792935923,63.86100778230699,8.09055560273164,0.7579558243541138,0.6713788727864951,0.005773087545438179,0.11575562122176691,0.6338266578180409,0.07110668844321277,0.020106649190540053,700000000000.0,0.051949139502445556,2.257433659361891
49,0.37695464985085375,4.724771210560614e-11,-1.4950561896534735e-19,3.21945912718611e-08,,0.025614717751782194,0.017662244743515708,64.52922039123338,10.305126899257752,0.7149583682514263,0.3812033801512383,0.024900957467983563,0.16690894818122415,0.8082119414781943,0.042017292889514196,0.02011629918184826,700000000000.0,0.09065408207372055,2.2597331195430193
50,2.1669156237494116,3.29480526627802,-1.4724364203069416e-21,2.333160208944291,0.07087658902020236,0.00827516161343583,0.023874224340974377,50.38863880904765,12.63879891331905,0.8147296644206852,0.33328198862795944,0.008765811702088514,0.09891962098719478,0.5135024863840505,0.06001164345562472,0.0223117098359461,0.0014727957947442115,0.033541362391721605,2.3871855294711772
51,0.19776915322689442,2.712258133121484e-11,1.400696388145134e-17,1.6197458778554244e-09,,0.02686811346105156,0.026574364842740106,63.375620460165855,7.220536917591369,0.5518142875028108,0.3350673723857248,0.03861427753004162,0.24285276133050165,0.8245434553379497,0.06006131909801224,0.02001979761365803,700000000000.0,0.09673495530562738,1.5613721931495292
52,0.5561263218138608,6.388271578394722e-10,6.162651685869248e-18,1.0927541748286908e-12,,0.02926274558595319,0.04856298837135924,55.35182126782708,12.806296162196812,0.6896263310796393,0.6730827653235592,0.013296083435590137,0.23516388049649933,0.9221912636256502,0.07253267550967965,0.020248585457436394,700000000000.0,0.06365348868789551,1.9879358679393622
53,0.6654372290195232,1.5985713054783585e-11,-6.321950601906323e-11,9.41394839212883e-11,,0.01779660819229689,0.01957164913057032,49.5635497514389,6.969573321155225,0.6561808883389203,0.5809497549160176,0.03703448771792997,0.20027579267292545,0.8830774259579888,0.06186373807130753,0.020673966901947997,700000000000.0,0.06330413451479953,2.2864453530617546
54,2.2792487885676453,3.401186728999677,0.15366058912725042,2.3866895924708835,8.704138910892109,0.006508066705986474,0.026396982006639255,52.1879315638073,14.861510508937908,0.6591826104393755,0.5074329022883146,0.0326561571774248,0.23322997071851448,0.4249352077372047,0.041756633074972835,0.021078581042738822,0.0011719619623001892,0.04959009280463486,2.4698056999883744
55,2.305899583010409,2.3535614861262255,0.14349292245115186,1.5411915027756662,4.636708442389209,0.009409472463515272,0.036371735665598426,45.77595480876264,15.013711187713708,0.6559746105495554,0.6220490764041902,0.035876278907942996,0.22443596931838095,0.6011003538632983,0.05931956097615865,0.02169836791137476,0.001944786051343868,0.02809857721056072,1.5711326541102217
56,1.137277487085767,0.33901525201900407,-1.1377949297230023e-20,1.8640368566497807,0.25183682269987234,0.022774336165071667,0.033286717223076225,45.141317526314594,14.134489246949038,0.6201653617764075,0.6559334577954002,0.009729699188456332,0.12693978377659956,0.8240576655977432,0.03138298152278709,0.02195422179073002,0.00856017627772457,0.041660926320561335,1.9174446089188755
57,0.3246115299883437,1.0709249095557697e-11,1.7085973269818378e-20,2.781238611916793e-10,,0.028023119182809426,0.03789724757820357,55.97019995349805,9.776125097766531,0.5430267658243783,0.42674730741524075,0.013791840622514515,0.23167039058841676,0.7577004273606995,0.021720746722898997,0.02154237749762562,700000000000.0,0.061281949729134276,2.2490387922932102
58,0.8887480835337591,3.279648128642369e-07,2.030387965257363e-102,1.407073134507687e-05,,0.009660481729008654,0.01468419660881792,50.87955707394887,7.529735536807546,0.5775789596633543,0.38908412976799,0.016138032107384813,0.09753076639901677,0.6605946985706719,0.05257081788314327,0.021116856069776972,4188561.799822545,0.04582045862986498,2.0822284921033813
59,1.6337059540092596,1.6023446487494801,-2.0800729272954605e-21,2.129165977487909,0.9326667468860735,0.01145581796088704,0.01729601644542002,48.266929423405514,11.130997088298859,0.7496576931508162,0.476887114506074,0.036915421034169525,0.1994613995990136,0.6054958313237795,0.06736550822656184,0.021924073744967444,0.0026995027128165205,0.05372618328299832,2.2078341275526876
60,1.535671567801427,0.9259196299542022,6.072642955154048e-17,1.4530024029961306,0.9820811777697884,0.004874952523596552,0.005443427961430974,61.69806318479627,13.679400891669466,0.5769670285149955,0.4477404024649546,0.02256168809921131,0.09527506436325078,0.7284799590652008,0.028510269719338587,0.02118601646112897,0.002771459591803661,0.08074240078226771,1.5336984651471652
61,1.8413392942741926,2.1744733899837856,2.895208015946372e-20,2.2700437379775957,0.7333259483131657,0.006205795980610794,0.028068135719814355,52.97934755772862,12.153724631882037,0.6611000455279141,0.4867673165702321,0.01640321920354821,0.16744747783518144,0.6376922684274458,0.04185627633288465,0.02124373808258877,0.0017706381556013087,0.058580432534777044,2.362493093802183
62,0.8635622295246917,0.0001371507629247718,3.926223614813672e-16,1.4520052788578253e-10,0.021965869096340365,0.013632238579910465,0.04770448881445735,52.892481193201036,7.632963309294464,0.7244317980758799,0.5297813139008417,0.022293744324616626,0.23685919261574867,0.9326506741145155,0.06017820372936228,0.02111037410717409,1685797934.6419814,0.058771687769386675,2.399829895608975
63,1.3839892175974673,1.0683289525432504,1.9322068913618734e-20,2.2884987108851362,0.2580361035069616,0.01017054296586813,0.04936186237947889,45.95652719989213,11.08763721183793,0.5583759408338334,0.44656398955276166,0.025970701595850635,0.14922988442685145,0.6278769319684503,0.05628417206317202,0.022035837807803837,0.003410464453654729,0.05688346954999133,2.377900924957293
64,0.7311371861050787,3.022621375414758e-09,-1.0195153653327215e-15,1.0650950728982194e-12,,0.01799727008502093,0.02850162008886142,57.42545404834527,12.436199470516764,0.581486477667919,0.4158513890006925,0.024665560302768317,0.10732710865620793,0.9648181862476398,0.07851755591395411,0.021511981906623998,700000000000.0,0.07776441363458034,1.9719378635114764
65,1.005301267186658,0.05863769249803895,3.2826859872827386e-24,1.7042030695698074,0.00775573209854019,0.019651818961804415,0.022580912111282065,53.74964120534674,11.506006062679326,0.7743627193349651,0.328397297841108,0.033746139271439345,0.09488252464830244,0.4527490606433947,0.0745066012785844,0.020424859971635578,0.047732040696195625,0.025072034715144555,1.7338106649800036
66,0.38826690325865026,5.936604023717583e-11,1.0148036534752149e-18,9.916352688282492e-10,,0.014784647385500862,0.012658878584431994,60.44611563253653,6.370403675914971,0.5376407425606589,0.594867501119551,0.033916111148899315,0.22007897964540446,0.48406917913351755,0.0742203454852333,0.0208376995510103,700000000000.0,0.08544712127696216,1.953087366977515
