scenario,year,A_t,F_t,K_t,S0,B_t,D_T,S_T,I_T,F_T,A_next,F_next,K_next,J_year,J_cum,uB,uP_mean,uC_mean,uP_max,uC_max
C (uP + uB + uC),4,0.0013591533306300746,5.542534375758781e-05,1.7122918616822485,0.01294595416121656,1.35,0.0005987965219803405,0.0013775216482253393,2.4604316407004026e-09,1.192278610504071e-05,0.001075567443075363,4.323800942399137e-06,1.7123088419071648,0.29756939337585586,5.472141059666497,0.7,0.0,0.012542000360965496,0.0,0.04504753619740609
C (uP + uB + uC),5,0.001075567443075363,4.323800942399137e-06,1.7123088419071648,0.01024649040152941,1.35,0.0005010273276679323,0.0011962414758916508,1.6659597228396829e-10,9.296103047897289e-07,0.0009340240766328842,3.3712337674282673e-07,1.7123163518790456,0.2879206528123343,5.760061712478832,0.7,0.0,0.010679282531445676,0.0,0.037514991698207954
C (uP + uB + uC),6,0.0009340240766328842,3.3712337674282673e-07,1.7123163518790456,0.008898799890294518,1.35,0.0004486870209448565,0.0010932919028935305,1.1868165845496268e-11,7.245976935182548e-08,0.000853641159139035,2.6277550922178303e-08,1.7123203723228873,0.2829075146496231,6.042969227128455,0.7,0.0,0.009654252242655214,0.0,0.03350661126813717
C (uP + uB + uC),7,0.000853641159139035,2.6277550922178303e-08,1.7123203723228873,0.008133343110553698,1.35,0.00041773367765675113,0.0010303483944159027,8.716766668616754e-13,5.646991806565428e-09,0.000804494934425476,2.047882791810299e-09,1.712322749962964,0.27999501220918305,6.322964239337638,0.7,0.0,0.009038619743864206,0.0,0.03114438443562297
C (uP + uB + uC),8,0.000804494934425476,2.047882791810299e-09,1.712322749962964,0.0076653064103718565,1.35,0.00039832758499737034,0.000990076404865388,6.527017886403245e-14,4.400374182874928e-10,0.0007730506076635644,1.5957966427645213e-10,1.7123242406179582,0.27818930648122936,6.6011535458188675,0.7,0.0,0.008649004128817184,0.0,0.029666615751466494
C (uP + uB + uC),9,0.0007730506076635644,1.5957966427645213e-10,1.7123242406179582,0.007365836992201866,1.35,0.00038570836427038405,0.0009635460717405826,4.949500915023568e-15,3.4287111899109904e-11,0.0007523357516758225,1.2434228496210189e-11,1.7123252099484796,0.2770236231385242,6.878177168957392,0.7,0.0,0.008394122114373109,0.0,0.028707021891352588
C (uP + uB + uC),10,0.0007523357516758225,1.2434228496210189e-11,1.7123252099484796,0.0071685468798382826,1.35,0.0003773051568251816,0.0009457272660992297,3.7850915310083395e-16,2.6714768419094862e-12,0.0007384228471149269,9.6881165063946e-13,1.7123258554312293,0.27625116056847365,7.1544283295258655,0.7,0.0,0.008223726198202122,0.0,0.02806862167271596
C (uP + uB + uC),11,0.0007384228471149269,9.6881165063946e-13,1.7123258554312293,0.007036036473150205,1.35,0.00037162013020106767,0.0009336027569499605,2.911251565168943e-17,2.0814109735889254e-13,0.0007289560432203937,7.548241367274762e-14,1.712326292120172,0.2757302822698109,7.430158611795676,0.7,0.0,0.00810814282562777,0.0,0.0276370053806122
C (uP + uB + uC),12,0.0007289560432203937,7.548241367274762e-14,1.712326292120172,0.006945870746069604,1.35,0.0003677326562764446,0.0009252793617897297,2.247955751707488e-18,1.621640667569412e-14,0.0007224571451001874,5.880883364757342e-15,1.712326590732185,0.27537489272989973,7.705533504525576,0.7,0.0,0.008028962381253514,0.0,0.027341985257518086
C (uP + uB + uC),13,0.0007224571451001874,5.880883364757342e-15,1.712326590732185,0.006883971995198985,1.35,0.00036505480931385537,0.0009195303998247381,1.740489661435151e-19,1.2634113388819905e-15,0.0007179683616905113,4.581763934678131e-16,1.71232679642807,0.2751304806909915,7.980663985216568,0.7,0.0,0.00797435464744843,0.0,0.027138826809219283
