idx,R_P,Dmean,beta,h,a_B,mu_S,mu_I,delta,eta,mu_F,R_B,sigma_A,sigma_F,phi,T,K0,c_B,kappa
20,0.021521258112750817,68680784178324.2,0.036271440633699255,0.00041395945966409735,0.0007402889336863467,0.021132830740162256,0.0378783396371211,0.11387041124105172,0.9455955349087624,0.05850275742181213,11.86853709716761,0.5424705406739159,0.5939740892330387,0.02569556546032535,56.71176302233143,1.8218193552271424,0.020128054176520464,700000000000.0
21,0.14738729640367776,66693636480532.266,0.0224483349980091,0.003374550166000376,0.0027522251947840544,0.026838774400947434,0.029776424804065765,0.054225019367073565,0.7194405997415196,0.024015075686764323,12.605766085853435,0.758009793671334,0.610286801742029,0.09235588254728752,59.16555253567187,1.6906005699204856,0.02046922831186031,700000000000.0
22,13.162302661819863,0.3262284002888641,0.02282336755139516,0.008977191330829535,0.00175780651924452,0.003298146803062569,0.035109516667088676,0.1930101438883482,0.733122336388317,0.0460575428299482,14.270483008206762,0.7723161013791129,0.535955786911669,0.015217228076303645,56.81493014394351,2.207669498785118,0.020443030665495306,0.0010757343260186759
23,0.011651132429635997,38754407371204.33,0.036799132046081456,0.007917694638466349,0.004341794155707688,0.017600048353259172,0.04439235928248583,0.21806035113323535,0.8729847664138681,0.06110697779320161,6.221842839233703,0.8809343528650235,0.3190240410498354,0.060395591920598,54.16506018135407,2.057515340031454,0.020444653111197416,700000000000.0
24,0.7057035742474611,0.6707689661880292,0.027133268429823623,0.005606531132177267,0.006150649712284073,0.0203314082774847,0.04960355231223731,0.06021135839287352,0.5394250782476715,0.021528101987366516,15.115003649018268,0.8438793179526158,0.35571692383045816,0.08721106462479644,47.607239092727156,2.48344971289849,0.02184703280027952,0.0020561207918782147
25,0.014492334774803859,66415608624561.45,0.013609772300438739,0.008627289508775532,0.004689705906400136,0.021193120016150997,0.010462923523491855,0.19758780881234883,0.7502509129572985,0.05700089610877991,11.350447485842178,0.8866419806364874,0.5814861798461247,0.06563757237419765,64.77033966783115,1.5440416785790934,0.020657517927605035,700000000000.0
26,0.06198330182396922,41061227622620.016,0.037995872543666695,0.0046927400938598695,0.0019891728064383896,0.02064495608087872,0.04476725162977293,0.14045906378308645,0.6533599536880508,0.05065584048458725,7.029512627400609,0.8017928435336796,0.6744837973631733,0.07513523847145444,47.12354210843011,2.3549250767913987,0.020263429744241047,700000000000.0
27,0.10533455054401812,55086988550338.52,0.012892373191976968,0.0009246616279600969,0.009520460141299628,0.009880524376422735,0.03828129427651064,0.11325698171081339,0.7000405629865258,0.02687533994521673,6.998282595820337,0.5285756450472534,0.5441748855659754,0.08184089547067447,61.101708813940746,2.449066949731133,0.021305389332261192,700000000000.0
28,0.02667909859844704,0.6845082482778226,0.01879881783974245,0.0035894680379779647,0.0051037593883148285,0.025553910524452526,0.02212846935906651,0.15779751611035142,0.4069934036835907,0.07251994526178648,14.754187722006977,0.7623879198246963,0.4822723840882318,0.031178327000413127,48.275138396867135,1.66708894304235,0.021004278706826286,0.008913338557876311
29,0.32692104831664476,0.6768742147362306,0.03733338549424385,0.0013798754391249907,0.008461939817780735,0.0050638822320195785,0.03480286419504182,0.050541396337770515,0.8084354381020549,0.03985729601179004,11.205575550961132,0.5811866283733157,0.4769127112286354,0.0470321232254998,61.268159507460176,1.9149039178201164,0.021452583394142164,0.004393287329543388
30,0.021287211254661226,50460181645105.62,0.013423268532067427,0.007535952858258396,0.005847578962679395,0.023514618736220714,0.02412222233291806,0.18458249419647804,0.5197743694384447,0.06556529303696006,8.89724119410943,0.6088596105635053,0.6818437647615377,0.09769163896616538,52.87392055041799,1.9845610358157466,0.020826011143426856,700000000000.0
31,0.012442625751957013,42402775761979.766,0.025329133206882338,0.0003173977844471459,0.008525176333168752,0.017733570605264225,0.018968157267421338,0.24489123435861748,0.4989441504502297,0.059775728763733646,6.789327287712777,0.6901351145584779,0.3733655512495398,0.015738617144392772,56.90319409430833,1.8690410698249718,0.020865443951520755,700000000000.0
32,0.0834227009744348,0.6956118688426892,0.010127637910835399,0.003272837452839675,9.723741908492009e-05,0.010052847563077994,0.023645031400242,0.15980014610794327,0.46732291623535666,0.03780937319610067,11.577565614934006,0.8444303532033675,0.34039200592517177,0.01388841726843113,63.20145013281062,2.4581703034816673,0.020022138726184104,0.0027615524620444786
