B_index,beta,R_P,A_star,K_star
0.625,0.019583333333333335,1.7544333433174852,3.6658862196597926,1.6372455994540098
0.625,0.021041666666666667,2.1185696489862194,3.6658862196561453,1.6372455994540311
0.625,0.022500000000000003,2.5483688595296226,3.6658862196514916,1.637245599454055
0.625,0.023958333333333335,3.0541948540571373,3.6658862196469895,1.637245599454086
0.625,0.025416666666666667,3.6478546393212756,3.6658862196413424,1.637245599454121
0.625,0.026875000000000003,4.342777262305529,3.665886219635289,1.6372455994541644
0.625,0.028333333333333335,5.154212256450524,3.6658862196282196,1.6372455994542143
0.625,0.029791666666666668,6.099450181189229,3.6658862196200475,1.637245599454273
0.625,0.03125,7.198067071603069,3.665886219667762,1.6372455994538684
0.625,0.03270833333333333,8.472195116321533,3.665886219667284,1.6372455994538662
0.625,0.034166666666666665,9.94682275131419,3.6658862195877076,1.6372455994545132
0.625,0.035625000000000004,11.650125753532606,3.6658862195732707,1.6372455994546191
0.625,0.03708333333333333,13.613834148119414,3.665886219556691,1.6372455994547415
0.625,0.03854166666666667,15.873636473699198,3.6658862195377346,1.637245599454883
0.625,0.04,18.469625923192822,3.6658862195157167,1.6372455994550443
0.6875,0.005,0.18959840764304414,3.346421756014587,1.6411483600010408
0.6875,0.006458333333333333,0.24044472863216618,3.3464217560301908,1.6411483600010832
0.6875,0.007916666666666667,0.3024511505566632,3.3464217560768565,1.6411483600012022
0.6875,0.009375000000000001,0.3776611193516201,3.3464217561937395,1.6411483600015002
0.6875,0.010833333333333334,0.4684359146924985,3.3464217560744087,1.6411483600012122
0.6875,0.012291666666666666,0.5774972904851907,3.346421756028257,1.6411483600011123
0.6875,0.013750000000000002,0.7079752150499259,3.3464217560146294,1.6411483600010928
0.6875,0.015208333333333334,0.8634610837303024,3.3464217560049296,1.641148360001085
0.6875,0.016666666666666666,1.048067085744366,3.3464217559993266,1.6411483600010897
0.6875,0.018125000000000002,1.2664922872071565,3.346421755995294,1.6411483600011005
0.6875,0.019583333333333335,1.5240961371363568,3.346421755990175,1.6411483600011127
0.6875,0.021041666666666667,1.8269801923930045,3.3464217559865594,1.6411483600011325
0.6875,0.022500000000000003,2.1820787131432846,3.3464217559817913,1.6411483600011536
0.6875,0.023958333333333335,2.597259279750814,3.346421755977735,1.641148360001182
0.6875,0.025416666666666667,3.081434044404829,3.3464217559724485,1.6411483600012138
0.6875,0.026875000000000003,3.644683099193527,3.3464217559672114,1.6411483600012526
0.6875,0.028333333333333335,4.298390609031107,3.346421755994758,1.6411483600010264
0.6875,0.029791666666666668,5.055395437402326,3.3464217559540925,1.6411483600013492
0.6875,0.03125,5.930157266558066,3.346421755946519,1.64114836000141
0.6875,0.03270833333333333,6.938939720003323,3.3464217559374845,1.6411483600014793
0.6875,0.034166666666666665,8.100012479477435,3.3464217559276155,1.6411483600015604
0.6875,0.035625000000000004,9.433873233738009,3.3464217559159333,1.6411483600016523
0.6875,0.03708333333333333,10.963492599031452,3.346421755902665,1.641148360001758
0.6875,0.03854166666666667,12.714582799878857,3.346421755991645,1.641148360000975
0.6875,0.04,14.715892805457445,3.3464217558703857,1.6411483600020178
0.75,0.005,0.18075635128119935,3.0442792094932196,1.645047894924993
0.75,0.006458333333333333,0.22654341624081856,3.044279209507785,1.6450478949250091
0.75,0.007916666666666667,0.2818221955418527,3.044279209550983,1.6450478949250278
0.75,0.009375000000000001,0.34823403234550676,3.044279209649364,1.6450478949251413
0.75,0.010833333333333334,0.4276613381546562,3.0442792096822555,1.645047894925178
0.75,0.012291666666666666,0.522258166274259,3.044279209535338,1.6450478949250587
0.75,0.013750000000000002,0.6344841521780273,3.0442792095095124,1.6450478949249938
0.75,0.015208333333333334,0.767142231702901,3.044279209490184,1.645047894925046
0.75,0.016666666666666666,0.9234204078822096,3.0442792094826183,1.6450478949250544
0.75,0.018125000000000002,1.10693801551812,3.044279209484945,1.6450478949249754
0.75,0.019583333333333335,1.3217969070227364,3.044279209470418,1.6450478949250806
0.75,0.021041666666666667,1.5726380421690331,3.044279209466538,1.6450478949250997
0.75,0.022500000000000003,1.8647039036921051,3.0442792094611453,1.6450478949251213
0.75,0.023958333333333335,2.203907466762794,3.0442792094573248,1.6450478949251477
0.75,0.025416666666666667,2.5969080482315294,3.044279209452015,1.6450478949251777
0.75,0.026875000000000003,3.0511950315845118,3.04427920944716,1.6450478949252128
0.75,0.028333333333333335,3.5751797817957893,3.044279209441736,1.6450478949252534
0.75,0.029791666666666668,4.1782968418610205,3.044279209435563,1.6450478949253002
0.75,0.03125,4.87111506291395,3.0442792094293036,1.6450478949253542
0.75,0.03270833333333333,5.665459453888653,3.0442792094216093,1.6450478949254155
0.75,0.034166666666666665,6.574545135416944,3.0442792094134754,1.645047894925486
0.75,0.035625000000000004,7.6131237380627175,3.044279209404058,1.6450478949255665
0.75,0.03708333333333333,8.797644130516959,3.044279209393294,1.6450478949256582
0.75,0.03854166666666667,10.146428190070978,3.0442792093816,1.6450478949257625
0.75,0.04,11.679862739638473,3.044279209367804,1.645047894925881
0.8125,0.005,0.1722959702858116,2.7585977375758373,1.6489513115346786
0.8125,0.006458333333333333,0.2133786101029251,2.758597737592097,1.6489513115346688
0.8125,0.007916666666666667,0.2624767864565479,2.758597737624893,1.648951311534647
0.8125,0.009375000000000001,0.32089488915120284,2.758597737759896,1.6489513115345522
0.8125,0.010833333333333334,0.39011758563611687,2.7585977377849353,1.648951311534538
0.8125,0.012291666666666666,0.4718313194450777,2.7585977377009523,1.6489513115346066
0.8125,0.013750000000000002,0.5679480616122595,2.758597737611632,1.6489513115346848
0.8125,0.015208333333333334,0.6806315281899763,2.7585977375874298,1.6489513115347143
0.8125,0.016666666666666666,0.8123260666210398,2.758597737574842,1.648951311534736
0.8125,0.018125000000000002,0.9657884609064815,2.7585977375702595,1.6489513115346728
0.8125,0.019583333333333335,1.1441229465226057,2.758597737556285,1.64895131153478
0.8125,0.021041666666666667,1.350819669373062,2.7585977375507076,1.648951311534802
0.8125,0.022500000000000003,1.58979694541102,2.758597737544782,1.648951311534827
0.8125,0.023958333333333335,1.8654476452605755,2.7585977375401654,1.6489513115348535
0.8125,0.025416666666666667,2.1826900129525058,2.7585977375350708,1.648951311534884
0.8125,0.026875000000000003,2.547023398613342,2.758597737529961,1.648951311534918
0.8125,0.028333333333333335,2.964589238283401,2.758597737525237,1.6489513115349559
